Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/comments,457,0,20,23.42788533916408,17.632400000366033,262.7368999992541,157745.0,7.6938694048108545,0.0,20,22,22,23,27,49,61,62,260,260,260
POST,/comments,234,0,150,146.70252905982017,142.50369999990653,192.7562000000762,110.0,3.9395305048703277,0.0,150,150,150,150,150,150,180,180,190,190,190
GET,/posts,920,0,17,19.465015108673725,15.2328000003763,84.95339999990392,27520.0,15.48875241231069,0.0,17,18,19,20,22,26,54,61,85,85,85
POST,/posts,443,0,150,147.58718826184557,142.40049999989424,195.3857000003154,76.0,7.458170998536561,0.0,150,150,150,150,150,160,180,190,200,200,200
GET,/posts/1,6,0,17,17.671066666783492,16.021200000068347,19.558599999982107,292.0,0.10101360268898277,0.0,18,18,19,19,20,20,20,20,20,20,20
GET,/posts/10,11,0,21,26.295945454628303,17.43570000053296,63.34249999963504,217.0,0.18519160492980175,0.0,21,22,30,30,38,63,63,63,63,63,63
GET,/posts/100,3,0,19,18.625766666445998,17.262399999708578,19.311799999741197,246.0,0.050506801344491384,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/posts/11,7,0,27,26.883714285889123,17.25669999996171,49.4436000008136,262.0,0.11784920313714656,0.0,27,28,29,29,49,49,49,49,49,49,49
GET,/posts/12,7,0,18,18.903714285832912,17.43220000025758,21.747400000094785,250.0,0.11784920313714656,0.0,18,19,20,20,22,22,22,22,22,22,22
GET,/posts/13,5,0,18,17.414499999722466,16.16349999949307,18.361800000093353,336.0,0.08417800224081898,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/posts/14,5,0,17.270499999540334,19.699600000058126,17.270499999540334,25.027599999702943,230.0,0.08417800224081898,0.0,17,21,21,25,25,25,25,25,25,25,25
GET,/posts/15,6,0,18,19.65129999992617,16.326699999808625,24.57620000041061,235.0,0.10101360268898277,0.0,19,19,23,23,25,25,25,25,25,25,25
GET,/posts/16,10,0,17,18.349379999835946,16.622399999505433,20.62039999964327,313.0,0.16835600448163796,0.0,19,19,19,21,21,21,21,21,21,21,21
GET,/posts/17,4,0,18,20.399775000214504,16.840199999933247,24.415099999714585,246.0,0.06734240179265517,0.0,22,22,24,24,24,24,24,24,24,24,24
GET,/posts/18,9,0,19,27.881666666568588,16.223199999330973,64.11620000017137,214.0,0.15152040403347414,0.0,19,20,23,58,64,64,64,64,64,64,64
GET,/posts/19,6,0,21,32.40158333316382,17.75939999970433,62.35190000006696,245.0,0.10101360268898277,0.0,21,21,53,53,62,62,62,62,62,62,62
GET,/posts/2,10,0,18,19.250770000144257,16.002100000150676,26.73190000041359,278.0,0.16835600448163796,0.0,18,20,20,23,27,27,27,27,27,27,27
GET,/posts/20,5,0,17,17.725119999886374,15.836399999898276,19.595900000240363,308.0,0.08417800224081898,0.0,17,20,20,20,20,20,20,20,20,20,20
GET,/posts/21,12,0,18,22.782966666606324,15.738000000055763,48.30560000027617,279.0,0.20202720537796554,0.0,20,21,26,26,32,48,48,48,48,48,48
GET,/posts/22,5,0,17,17.303440000068804,16.00830000006681,18.75700000073266,230.0,0.08417800224081898,0.0,17,18,18,19,19,19,19,19,19,19,19
GET,/posts/23,15,0,17,19.959439999972044,15.410699999847566,56.39750000045751,253.0,0.2525340067224569,0.0,17,17,19,20,23,56,56,56,56,56,56
GET,/posts/24,8,0,17,17.9280249999465,16.689000000042142,20.645499999773165,243.0,0.13468480358531035,0.0,18,18,20,20,21,21,21,21,21,21,21
GET,/posts/25,4,0,20,29.09399999998641,16.92430000002787,57.00849999993807,237.0,0.06734240179265517,0.0,22,22,57,57,57,57,57,57,57,57,57
